question_id,course_id,level,type,status,unit,module_id,example_no,source_file,source_pages,source_status,statutes,title,scenario,question,model_answer,answer_outline,hint_1,hint_2,hint_3,rubric_notes,yaml_path,notes
q-exam-prep-u1-3-example-1,41215,2,subjective,needs_manual_review,1-3,module-01-torts-unjust-enrichment,ตย-1,source-materials/raw/ชุดเก็งอัตนัย-41215 ละเมิด ทรัพย์สิน _2-2568.pdf,2-7,image_only_header_detected,"420,423,428,432,425,426,427,429,430,433,434,435,436,437",ไฟล์เก็ง หน่วย 1-3 ตย-1,รอตรวจ/กรอกข้อความจากภาพสแกนในไฟล์เก็ง,เติมโจทย์จากไฟล์เก็งหลังตรวจภาพหรือกรอกด้วยมือ,รอตรวจ/กรอกข้อความจากภาพสแกน,ฐานละเมิดของตนเอง / บุคคลอื่น / ทรัพย์,โฟกัสหน่วย 1-3,แยกฐานความรับผิดตามผู้กระทำและทรัพย์ที่ก่อความเสียหาย,"ตรวจมาตรา 420, 425, 433-437 ตามข้อเท็จจริง",,,PDF text layer อ่านได้เฉพาะหัวหน้า จึงยังไม่สร้างเป็นข้อฝึกใช้งานจริง
q-exam-prep-u1-3-example-2,41215,2,subjective,needs_manual_review,1-3,module-01-torts-unjust-enrichment,ตย-2,source-materials/raw/ชุดเก็งอัตนัย-41215 ละเมิด ทรัพย์สิน _2-2568.pdf,8-18,image_only_header_detected,"420,425,433,434,437",ไฟล์เก็ง หน่วย 1-3 ตย-2,รอตรวจ/กรอกข้อความจากภาพสแกนในไฟล์เก็ง,เติมโจทย์จากไฟล์เก็งหลังตรวจภาพหรือกรอกด้วยมือ,รอตรวจ/กรอกข้อความจากภาพสแกน,ตรวจฐานละเมิดทั่วไป ความรับผิดบุคคลอื่น และความรับผิดจากทรัพย์,โฟกัสหน่วย 1-3,มองหาคำว่า ประมาท นายจ้าง ลูกจ้าง สัตว์ โรงเรือน ยานพาหนะ,"ตรวจมาตรา 420, 425, 433, 434, 437",,,รอเติมข้อความจริงจากภาพ
q-exam-prep-u1-3-example-3,41215,2,subjective,needs_manual_review,1-3,module-01-torts-unjust-enrichment,ตย-3,source-materials/raw/ชุดเก็งอัตนัย-41215 ละเมิด ทรัพย์สิน _2-2568.pdf,19-24,image_only_header_detected,"420,425,437",ไฟล์เก็ง หน่วย 1-3 ตย-3,รอตรวจ/กรอกข้อความจากภาพสแกนในไฟล์เก็ง,เติมโจทย์จากไฟล์เก็งหลังตรวจภาพหรือกรอกด้วยมือ,รอตรวจ/กรอกข้อความจากภาพสแกน,ฐานละเมิดและความรับผิดที่ต้องแยกผู้รับผิด,โฟกัสหน่วย 1-3,แยกผู้กระทำละเมิดกับผู้ที่อาจร่วมรับผิด,เริ่มจากมาตรา 420 แล้วดูมาตราเฉพาะ,,,รอเติมข้อความจริงจากภาพ
q-exam-prep-u1-3-example-4,41215,2,subjective,needs_manual_review,1-3,module-01-torts-unjust-enrichment,ตย-4,source-materials/raw/ชุดเก็งอัตนัย-41215 ละเมิด ทรัพย์สิน _2-2568.pdf,25-33,image_only_header_detected,"420,425,433,434,437",ไฟล์เก็ง หน่วย 1-3 ตย-4,รอตรวจ/กรอกข้อความจากภาพสแกนในไฟล์เก็ง,เติมโจทย์จากไฟล์เก็งหลังตรวจภาพหรือกรอกด้วยมือ,รอตรวจ/กรอกข้อความจากภาพสแกน,ข้อยาวจากหน่วยละเมิด ควรแยกประเด็นก่อนปรับบท,โฟกัสหน่วย 1-3,แยกองค์ประกอบละเมิดก่อนเข้าสู่ฐานเฉพาะ,ตรวจมาตราในกลุ่ม 420 และ 425-437,,,รอเติมข้อความจริงจากภาพ
q-exam-prep-u1-3-example-5,41215,2,subjective,needs_manual_review,1-3,module-01-torts-unjust-enrichment,ตย-5,source-materials/raw/ชุดเก็งอัตนัย-41215 ละเมิด ทรัพย์สิน _2-2568.pdf,34-37,image_only_header_detected,"420,425,433,434,437",ไฟล์เก็ง หน่วย 1-3 ตย-5,รอตรวจ/กรอกข้อความจากภาพสแกนในไฟล์เก็ง,เติมโจทย์จากไฟล์เก็งหลังตรวจภาพหรือกรอกด้วยมือ,รอตรวจ/กรอกข้อความจากภาพสแกน,ข้อจากหน่วยละเมิด,โฟกัสหน่วย 1-3,ตรวจฐานความรับผิดตามข้อเท็จจริง,เริ่มจากมาตรา 420 แล้วดูมาตราเฉพาะ,,,รอเติมข้อความจริงจากภาพ
q-exam-prep-possession-disturbance-public-land,41215,2,subjective,ready,12-13,module-02-property,ตย-1,source-materials/raw/ชุดเก็งอัตนัย-41215 ละเมิด ทรัพย์สิน _2-2568.pdf,38-39,answer_text_extracted_question_reconstructed,"1374,1304",รบกวนการครอบครองในที่ดินสาธารณสมบัติ,ดินเข้าไปทำสวนในที่ดินซึ่งเป็นสาธารณสมบัติของแผ่นดิน ต่อมาแดน เจ้าของที่ดินมือเปล่าข้างเคียง ทำทางเดินผ่านสวนของดินโดยไม่ได้รับอนุญาต,ให้วินิจฉัยว่าดินซึ่งครอบครองทำประโยชน์อยู่ก่อน จะยกสิทธิเพื่อปลดเปลื้องการรบกวนต่อแดนได้หรือไม่,แม้การครอบครองสาธารณสมบัติของแผ่นดินจะใช้ยันรัฐไม่ได้ แต่ในความสัมพันธ์ระหว่างราษฎรด้วยกัน ผู้ครอบครองทำประโยชน์อยู่ก่อนยังอาจยกการครอบครองขึ้นยันผู้ที่เข้ามารบกวนโดยมิชอบได้ จึงควรวินิจฉัยว่าดินมีทางขอให้ปลดเปลื้องการรบกวนการครอบครองต่อแดนได้,ระบุประเด็นการรบกวนการครอบครอง | อธิบายมาตรา 1374 | แยกผลต่อรัฐกับผลระหว่างราษฎร | สรุปว่าดินยกข้อต่อสู้ต่อแดนได้,โฟกัสสิทธิครอบครองและการถูกรบกวน,แยกผลของการครอบครองสาธารณสมบัติเมื่อเทียบกับรัฐ ออกจากผลระหว่างเอกชนด้วยกัน,พิจารณามาตรา 1374 และหลักสาธารณสมบัติของแผ่นดิน,ให้คะแนนการแยกผลต่อรัฐ/เอกชนสูง เพราะเป็นจุดหลอกของโจทย์,modules/module-02-property/questions/level-2/q-exam-prep-possession-disturbance-public-land.yaml,สร้างจาก text layer หน้า 39 โดยเรียบเรียงใหม่
q-exam-prep-adverse-possession-transfer-time,41215,3,subjective,ready,12-13,module-02-property,ตย-2,source-materials/raw/ชุดเก็งอัตนัย-41215 ละเมิด ทรัพย์สิน _2-2568.pdf,40-41,answer_text_extracted_question_reconstructed,"1382,1385",นับเวลาครอบครองปรปักษ์ต่อจากผู้โอน,หนึ่งเข้าทำกินในที่ดินมีโฉนดของสองโดยเข้าใจว่าเป็นที่ดินรกร้างว่างเปล่าเป็นเวลา 4 ปี ต่อมาหนึ่งขายที่ดินนั้นให้สามโดยสามไม่ทราบความเป็นมา และสามทำกินต่ออีก 7 ปี,ให้วินิจฉัยว่าสามมีข้อต่อสู้ว่าได้กรรมสิทธิ์โดยครอบครองปรปักษ์หรือไม่ และนับเวลาครอบครองของหนึ่งรวมกับของสามได้หรือไม่,หนึ่งครอบครองที่ดินของสองโดยสงบ เปิดเผย และมีเจตนาเป็นเจ้าของเป็นเวลา 4 ปี เมื่อโอนการครอบครองให้สาม สามอาจนับเวลาครอบครองของหนึ่งรวมกับเวลาของตนได้ หากเป็นการโอนการครอบครองต่อเนื่อง เมื่อรวม 4 ปีของหนึ่งกับ 7 ปีของสามครบกว่า 10 ปี สามจึงมีข้อต่อสู้เรื่องได้กรรมสิทธิ์โดยครอบครองปรปักษ์ตามมาตรา 1382 ประกอบมาตรา 1385,ระบุองค์ประกอบมาตรา 1382 | วิเคราะห์การโอนการครอบครองและการนับเวลาต่อเนื่องตามมาตรา 1385 | รวมระยะเวลา 4+7 ปี | สรุปว่าสามมีข้อต่อสู้,โฟกัสครอบครองปรปักษ์และการนับเวลาครอบครองต่อเนื่อง,ดูว่าเป็นการครอบครองทรัพย์ของผู้อื่นโดยสงบ เปิดเผย เจตนาเป็นเจ้าของ และมีการโอนการครอบครองหรือไม่,พิจารณามาตรา 1382 ประกอบมาตรา 1385,ข้อสำคัญคือไม่ลืมนับเวลาผู้โอนรวมกับผู้รับโอน,modules/module-02-property/questions/level-3/q-exam-prep-adverse-possession-transfer-time.yaml,สร้างจาก text layer หน้า 41 โดยเรียบเรียงใหม่
q-exam-prep-u12-13-example-3,41215,2,subjective,needs_manual_review,12-13,module-02-property,ตย-3,source-materials/raw/ชุดเก็งอัตนัย-41215 ละเมิด ทรัพย์สิน _2-2568.pdf,42,image_only_header_detected,"1367,1374,1375,1382,1387",ไฟล์เก็ง หน่วย 12-13 ตย-3,รอตรวจ/กรอกข้อความจากภาพสแกนในไฟล์เก็ง,เติมโจทย์จากไฟล์เก็งหลังตรวจภาพหรือกรอกด้วยมือ,รอตรวจ/กรอกข้อความจากภาพสแกน,สิทธิครอบครองหรือภาระจำยอม,โฟกัสหน่วย 12-13,แยกสิทธิครอบครองออกจากภาระจำยอม,"ตรวจมาตรา 1374, 1375, 1382 หรือ 1387 ตามข้อเท็จจริง",,,รอเติมข้อความจริงจากภาพ
q-exam-prep-recover-possession-one-year,41215,2,subjective,ready,12-13,module-02-property,ตย-4,source-materials/raw/ชุดเก็งอัตนัย-41215 ละเมิด ทรัพย์สิน _2-2568.pdf,43-44,answer_text_extracted_question_reconstructed,1375,ฟ้องเอาคืนการครอบครองภายในหนึ่งปี,นาย ก. บุกรุกเข้าไปครอบครองที่ดินมือเปล่าของนาย ข. โดยรู้อยู่แล้วว่าเป็นของนาย ข. ผ่านไปกว่า 10 ปี นาย ข. เพิ่งทราบเรื่องและขับไล่นาย ก. ออกจากที่ดิน,ให้วินิจฉัยว่านาย ก. มีข้อต่อสู้เกี่ยวกับกำหนดเวลาฟ้องเอาคืนการครอบครองตามมาตรา 1375 หรือไม่,การที่นาย ก. เข้าไปครอบครองที่ดินมือเปล่าของนาย ข. เป็นการแย่งการครอบครองโดยมิชอบ แต่การฟ้องคดีเพื่อเอาคืนการครอบครองต้องฟ้องภายในหนึ่งปีนับแต่เวลาถูกแย่งการครอบครอง เมื่อเวลาผ่านไปกว่า 10 ปี นาย ข. จึงพ้นกำหนดฟ้องเอาคืนการครอบครอง นาย ก. จึงมีข้อต่อสู้ตามมาตรา 1375 วรรคสองได้,ระบุการแย่งการครอบครอง | อธิบายสิทธิเอาคืนการครอบครองและกำหนดหนึ่งปี | ปรับข้อเท็จจริงว่าเวลาผ่านกว่า 10 ปี | สรุปว่านาย ก. มีข้อต่อสู้,โฟกัสการถูกแย่งการครอบครอง,อย่าดูเฉพาะความไม่สุจริตของผู้แย่ง ให้ดูอายุความ/กำหนดเวลาฟ้องเอาคืนด้วย,พิจารณามาตรา 1375 โดยเฉพาะกำหนดหนึ่งปี,ต้องตอบเรื่องกำหนดหนึ่งปี ไม่ใช่สรุปจากความสุจริตอย่างเดียว,modules/module-02-property/questions/level-2/q-exam-prep-recover-possession-one-year.yaml,สร้างจาก text layer หน้า 43-44 โดยเรียบเรียงใหม่
q-exam-prep-u12-13-example-5,41215,2,subjective,needs_manual_review,12-13,module-02-property,ตย-5,source-materials/raw/ชุดเก็งอัตนัย-41215 ละเมิด ทรัพย์สิน _2-2568.pdf,45-46,image_only_header_detected,"1367,1374,1375,1382,1387",ไฟล์เก็ง หน่วย 12-13 ตย-5,รอตรวจ/กรอกข้อความจากภาพสแกนในไฟล์เก็ง,เติมโจทย์จากไฟล์เก็งหลังตรวจภาพหรือกรอกด้วยมือ,รอตรวจ/กรอกข้อความจากภาพสแกน,สิทธิครอบครองหรือภาระจำยอม,โฟกัสหน่วย 12-13,ดูว่าข้อเท็จจริงเป็นการครอบครอง การรบกวน หรือการใช้ทาง,"ตรวจมาตรา 1374, 1375, 1382 หรือ 1387",,,รอเติมข้อความจริงจากภาพ
