question_id,source_kind,course_id,level,module_id,title,ข้อที่,รูปแบบโจทย์,คำถาม (Question),ตัวเลือก (Choices),เฉลย (Answer),มาตราที่เกี่ยวข้อง (Sections),คำอธิบายเหตุผล (Explanation),hint_1,hint_2,hint_3,yaml_path,source_note
q-level1-41216-import-001,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,ข้อใดเป็นสาระสำคัญของกฎหมายอาญา,1,MCQ,ข้อใดเป็นสาระสำคัญของกฎหมายอาญา,"ก. เป็นกฎหมายที่ว่าด้วยสิทธิและหน้าที่และความสัมพันธ์ระหว่างเอกชนต่อเอกชน 
ข. มีเจตนารมณ์รักษาความสงบเรียบร้อยของบ้านเมือง 
ค. การตีความหากไม่มีบทกฎหมายขึ้นปรับแก่คดีให้วินิจฉัยตามจารีตประเพณีท้องถิ่น 
ง. รัฐอยู่ในฐานะเอกชนมีสิทธิหน้าที่อย่างเดียวกับเอกชน 
จ. การบังคับให้ชดใช้ค่าเสียหายตามสัญญา",ข,บทบัญญัติทั่วไปทางอาญา,กฎหมายอาญาเป็นกฎหมายมหาชนที่มีวัตถุประสงค์และเจตนารมณ์หลักในการรักษาความสงบเรียบร้อยและความปลอดภัยของสังคม บ้านเมือง ส่วนการตีความกฎหมายอาญาต้องเป็นไปโดยเคร่งครัดตามตัวอักษร จะนำจารีตประเพณีมาลงโทษบุคคลไม่ได้,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณาหลักกฎหมายอาญาที่เกี่ยวข้อง,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-002,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,ข้อใดมิใช่โทษตามประมวลกฎหมายอาญา,2,MCQ,ข้อใดมิใช่โทษตามประมวลกฎหมายอาญา,"ก. ประหารชีวิต 
ข. จำคุก 
ค. กักขัง 
ง. ชดใช้ค่าเสียหาย 
จ. ริบทรัพย์สิน",ง,มาตรา 18,มาตรา 18 กำหนดโทษทางอาญาไว้ 5 สถานเท่านั้น คือ ประหารชีวิต จำคุก กักขัง ปรับ และริบทรัพย์สิน ส่วน 'การชดใช้ค่าเสียหาย' เป็นความรับผิดทางแพ่ง (ค่าสินไหมทดแทน) ไม่ใช่โทษทางอาญา,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 18,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-003,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,ข้อใดเป็นความผิดเพราะมีกฎหมายบัญญัติให้เป็นความผิด (Mala Pro,3,MCQ,ข้อใดเป็นความผิดเพราะมีกฎหมายบัญญัติให้เป็นความผิด (Mala Prohibita),"ก. นายแดงฆ่านายดำตาย 
ข. นางสาวเขียวถูกนายขาวข่มขืน 
ค. นายเหลืองขโมยทีวีของนางส้ม 
ง. นายม่วงขับรถเร็วเกินอัตราที่กฎหมายกำหนดไว้ 
จ. นายฟ้าใช้มีดแทงนายแสดบริเวณชายโครง",ง,บทบัญญัติทั่วไปทางอาญา,Mala Prohibita คือความผิดที่เป็นความผิดเพราะมีกฎหมายบัญญัติห้ามไว้ (เช่น กฎจราจร กฎหมายภาษี) ไม่ใช่ความผิดในตัวเองโดยธรรมชาติ ต่างจากความผิดในตัวเอง (Mala in se) เช่น การฆ่า การข่มขืน ลักทรัพย์ หรือทำร้ายร่างกาย,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณาหลักกฎหมายอาญาที่เกี่ยวข้อง,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-004,pasted_quiz_data,41216,1,อาชญาวิทยา,ข้อใดเป็นการอธิบายสาเหตุการเกิดอาชญากรรมโดยอาศัยทฤษฎีของลอมโ,4,MCQ,ข้อใดเป็นการอธิบายสาเหตุการเกิดอาชญากรรมโดยอาศัยทฤษฎีของลอมโบรโซ (Lombroso),"ก. ลักษณะกะโหลกศีรษะของคนสามารถทำนายลักษณะจิตใจของคนได้ใกล้เคียงที่สุด 
ข. พฤติกรรมที่สอดคล้องหรือใกล้เคียงกันสามารถถ่ายทอดได้ทางพันธุกรรม โดยศึกษาจากพฤติกรรมของคู่พี่น้องฝาแฝด 
ค. พฤติกรรมของอาชญากรเป็นผลมาจากความผิดปกติทางกายและจิตใจซึ่งได้รับการถ่ายทอดจากบรรพบุรุษทางพันธุกรรม 
ง. พฤติกรรมของอาชญากรมีความสัมพันธ์กับสติปัญญา 
จ. ความบกพร่องทางชีวภาพที่มีลักษณะด้อยของสภาพร่างกายเป็นสาเหตุของการเกิดอาชญากรรม",ค,อาชญาวิทยา,ซีซาร์ ลอมโบรโซ (Cesare Lombroso) บิดาแห่งอาชญาวิทยาสมัยใหม่ อธิบายว่าอาชญากรเกิดมาเพื่อเป็นอาชญากร (Born Criminal) โดยพฤติกรรมเป็นผลมาจากความผิดปกติทางกายและจิตใจที่มีลักษณะย้อนยุค (Atavism) และถ่ายทอดทางพันธุกรรมได้,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: อาชญาวิทยา,พิจารณาหลักกฎหมายอาญาที่เกี่ยวข้อง,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-005,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,นายแดงฟ้องนายดำในฐานะบรรณาธิการหนังสือพิมพ์ซึ่งลงข้อความหมิ่,5,MCQ,นายแดงฟ้องนายดำในฐานะบรรณาธิการหนังสือพิมพ์ซึ่งลงข้อความหมิ่นประมาทด้วยการโฆษณา ต่อมาภายหลังคดีอยู่ระหว่างการพิจารณาของศาลฎีกา รัฐบาลยกเลิกความผิดฐานนี้ของบรรณาธิการหนังสือพิมพ์ ดังนี้จะเกิดผลประการใด,"ก. นายดำไม่เคยต้องคำพิพากษาของศาลว่ากระทำผิด 
ข. นายดำพ้นจากการกระทำผิด 
ค. นายดำไม่พ้นจากการกระทำผิด 
ง. รัฐจะฟ้องเพื่อลงโทษนายดำไม่ได้ 
จ. นายดำยังคงมีความผิดแต่ไม่ต้องรับโทษ",ข,มาตรา 2 วรรคสอง,มาตรา 2 วรรคสอง บัญญัติว่าถ้ามีกฎหมายภายหลังยกเลิกความผิดนั้น ให้ผู้กระทำพ้นจากการเป็นผู้กระทำความผิด และถ้ามีคำพิพากษาถึงที่สุดให้ลงโทษแล้ว ก็ให้ถือว่าผู้นั้นไม่เคยต้องคำพิพากษาว่าได้กระทำความผิดนั้นเลย ในกรณีนี้คดียังไม่ถึงที่สุด ดำย่อมพ้นจากการกระทำผิดทันที,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 2,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-006,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,กรณีใดไม่เป็นการกระทำที่ให้ถือว่าเป็นความผิดในราชอาณาจักร ตา,6,MCQ,กรณีใดไม่เป็นการกระทำที่ให้ถือว่าเป็นความผิดในราชอาณาจักร ตามประมวลกฎหมายอาญา มาตรา 4 วรรคสอง,"ก. นายเงินนั่งอยู่บนเครื่องบินไทยซึ่งจอดอยู่ที่สนามบินสาธารณรัฐประชาชนจีน ถูกนายทองซึ่งอยู่บนลานจอดเครื่องบินใช้ปืนยิงจนถึงแก่ความตาย 
ข. นายม่วงไล่ยิงนายดำที่สนามบินฮ่องกง นายดำหนีขึ้นมาบนเครื่องบินไทยและสิ้นใจตายบนเครื่องบินไทย 
ค. นายเขียวลักทรัพย์นางฟ้าในเรือไทย ขณะแล่นอยู่ในน่านน้ำสากล 
ง. นายเหลืองวางยาพิษนายขาวโดยผสมกับกาแฟให้นายขาวดื่มขณะเครื่องบินไทยอยู่เหนือน่านฟ้าประเทศสิงคโปร์ นายขาวถึงแก่ความตายที่โรงพยาบาลมาเลเซีย 
จ. นางสาวส้มลักทรัพย์ของนางแสดในเครื่องบินไทยที่จอดอยู่สนามบินอินโดนีเซีย",ก,มาตรา 4 วรรคสอง,มาตรา 4 วรรคสอง กำหนดว่าการกระทำความผิดในเรือไทยหรืออากาศยานไทย ไม่ว่าจะอยู่ที่ใด ให้ถือว่ากระทำความผิดในราชอาณาจักร แต่กรณีข้อ ก. ตัวผู้ทำความผิด (นายทอง) และการกระทำ (การยิง) เกิดขึ้นบนลานจอดรถภายนอกเครื่องบิน (บนดินของจีน) ไม่ได้กระทำ 'ใน' อากาศยานไทย,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 4,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-007,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,นายดำต้องการฆ่านายแดง นายดำยิงไปที่ศพนายแดง โดยที่นายดำไม่รู,7,MCQ,นายดำต้องการฆ่านายแดง นายดำยิงไปที่ศพนายแดง โดยที่นายดำไม่รู้ว่านายแดงตายไปแล้ว นายดำต้องรับผิดทางอาญาฐานฆ่าผู้อื่นโดยเจตนาหรือไม่ เพราะเหตุใด,"ก. ต้องรับผิด เพราะมีผลของการกระทำเกิดขึ้น 
ข. ต้องรับผิด เพราะการกระทำครบองค์ประกอบของความผิด 
ค. ไม่ต้องรับผิด เพราะการกระทำขาดองค์ประกอบภายนอกของความผิด 
ง. ต้องรับผิด แต่กฎหมายยกเว้นโทษให้ 
จ. ไม่ต้องรับผิด เพราะกฎหมายยกเว้นความผิดให้",ค,"มาตรา 59, 288",องค์ประกอบภายนอกของฐานความผิดฆ่าผู้อื่นตามมาตรา 288 คือ (1) ผู้ใด (2) ฆ่า (3) 'ผู้อื่น' คำว่าผู้อื่นหมายถึงบุคคลที่มีชีวิตอยู่ เมื่อนายแดงเสียชีวิตไปก่อนแล้วจึงมีสภาพเป็น 'ศพ' ไม่ใช่ผู้อื่น การกระทำจึงขาดองค์ประกอบภายนอก ดำจึงไม่มีความผิด,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,"พิจารณามาตรา 59, 288","",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-008,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,นางเขียวต้องการให้ลูกทารกของตนตาย นางเขียวจึงไม่ให้นมลูกกินจ,8,MCQ,นางเขียวต้องการให้ลูกทารกของตนตาย นางเขียวจึงไม่ให้นมลูกกินจนกระทั่งลูกของนางเขียวอดนมตาย นางเขียวมีการกระทำในลักษณะใด,"ก. การกระทำโดยงดเว้น 
ข. การกระทำโดยละเว้น 
ค. การกระทำโดยนิ่งเฉย 
ง. การกระทำโดยรู้สำนึก 
จ. การกระทำโดยไม่รู้สำนึก",ก,มาตรา 59 วรรคท้าย,การกระทำโดยงดเว้น (Omission) คือการปล่อยให้เกิดผลโดยงดเว้นการที่จักต้องกระทำเพื่อป้องกันผลนั้น โดยผู้กระทำมีหน้าที่เฉพาะเจาะจงตามกฎหมายหรือสัญญาในการป้องกันผล (มารดามีหน้าที่เลี้ยงดูบุตร) ต่างจาก 'ละเว้น' ที่เป็นการฝ่าฝืนหน้าที่ทั่วไปตามมาตรา 374,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 59,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-009,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,กรณีใดที่ผู้กระทำมีเจตนาเล็งเห็นผล,9,MCQ,กรณีใดที่ผู้กระทำมีเจตนาเล็งเห็นผล,"ก. นายขาวชกนายเหลืองที่ใบหน้าของเหลือง 
ข. นายเหลืองยิงปืนเข้าไปในกลุ่มคนที่กำลังดูมหรสพด้วยความคึกคะนอง 
ค. นายแดงหยิบสร้อยคอทองคำของนางดำไป 
ง. นางสาวแสดหยิบหมวกของนางสาวส้มเพราะคิดว่าเป็นหมวกของตน 
จ. นางเขียวหยิบกระเป๋าของนางฟ้าที่วางอยู่ใกล้กับกระเป๋าของตนไปด้วยความสะเพร่า",ข,มาตรา 59 วรรคสอง,เจตนาเล็งเห็นผล หมายถึง ผู้กระทำไม่ได้ประสงค์ต่อผลร้ายโดยตรง แต่ตามวิญญูชนย่อมเล็งเห็นได้อย่างแน่แท้ว่าผลนั้นจะเกิดขึ้น การยิงปืนเข้าไปในกลุ่มคนหนาแน่น ย่อมเล็งเห็นได้ว่ากระสุนต้องถูกคนใดคนหนึ่งถึงตายอย่างแน่นอน,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 59,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-010,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,กรณีใดเป็นการกระทำโดยพลาด,10,MCQ,กรณีใดเป็นการกระทำโดยพลาด,"ก. นายขาวต้องการฆ่านายดำ นายขาวใช้ปืนยิงไปที่นายดำ นายดำหลบทัน กระสุนไปถูกนายเหลืองตาย 
ข. นายขาวต้องการฆ่านายดำ นายขาวใช้ปืนยิงไปที่นายดำ นายดำหลบทัน กระสุนไปถูกแจกันลายครามของนายเหลืองแตก 
ค. นายขาวใช้ปืนยิงไปที่แจกันของนายดำ ปรากฏว่ากระสุนไม่ถูกแจกันแต่พลาดไปถูกนายเหลืองตาย 
ง. นายขาวใช้ปืนยิงสุนัข แต่กระสุนพลาดไปถูกนายดำบาดเจ็บ 
จ. นายขาวเอาก้อนหินขว้างใส่รถยนต์นายดำ ก้อนหินถูกนายเหลืองศีรษะแตก",ก,มาตรา 60,"การกระทำโดยพลาดตามมาตรา 60 ต้องเกิดจากการที่ผู้กระทำมีเจตนาต่อวัตถุหรือบุคคลหนึ่ง แต่ผลของการกระทำพลาดไปเกิดแก่อีกบุคคลหนึ่งใน 'ประเภทผลร้ายชนิดเดียวกัน' (กรณีข้อ ก. มีเจตนาฆ่าคน ผลพลาดไปถูกคนตาย) ส่วนข้อ ค, ง, จ เจตนาเริ่มต้นเป็นต่อทรัพย์แต่พลาดไปโดนคน ไม่ถือเป็นพลาดทางอาญา",โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 60,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
